City ID,City,Lat,Lng,Max Temp,Current Description,Rain (inchies),Snow (inchies),Humidity,Cloudiness,Wind Speed,Country,Date
36,Ribeira Grande,38.5167,-28.7,73.8,broken clouds,0.0,0.0,94,75,11.5,PT,2021-07-24 19:49:22
37,Lompoc,34.6391,-120.4579,90.01,broken clouds,0.0,0.0,69,75,5.01,US,2021-07-24 19:49:31
38,Atuona,-9.8,-139.0333,78.64,scattered clouds,0.0,0.0,68,50,16.26,PF,2021-07-24 19:49:31
39,Lagoa,39.05,-27.9833,71.38,overcast clouds,0.0,0.0,90,85,15.12,PT,2021-07-24 19:52:08
40,Lavrentiya,65.5833,-171.0,45.52,light rain,0.56,0.56,98,100,10.94,RU,2021-07-24 19:52:09
41,Quelimane,-17.8786,36.8883,67.95,light rain,0.51,0.51,68,40,7.0,MZ,2021-07-24 19:52:09
42,Cidreira,-30.1811,-50.2056,63.59,clear sky,0.0,0.0,65,0,5.57,BR,2021-07-24 19:52:09
43,Bambous Virieux,-20.3428,57.7575,70.05,scattered clouds,0.0,0.0,83,40,6.91,MU,2021-07-24 19:52:10
44,Najran,17.4924,44.1277,86.65,broken clouds,0.0,0.0,37,80,7.61,SA,2021-07-24 19:52:11
45,Erdenet,49.0333,104.0833,54.46,overcast clouds,0.0,0.0,86,100,2.57,MN,2021-07-24 19:52:11
46,Tuatapere,-46.1333,167.6833,41.83,overcast clouds,0.0,0.0,81,100,7.23,NZ,2021-07-24 19:49:29
47,Gelibolu,40.4103,26.6708,74.17,clear sky,0.0,0.0,62,0,16.93,TR,2021-07-24 19:52:12
48,Ushuaia,-54.8,-68.3,38.86,broken clouds,0.0,0.0,81,75,1.14,AR,2021-07-24 19:49:52
49,Jamestown,42.097,-79.2353,80.19,light rain,0.71,0.71,69,40,10.0,US,2021-07-24 19:47:48
50,Leninskoye,41.7589,69.3864,89.53,clear sky,0.0,0.0,15,0,7.87,KZ,2021-07-24 19:52:12
51,Butaritari,3.0707,172.7902,83.68,overcast clouds,0.0,0.0,72,100,16.67,KI,2021-07-24 19:52:13
52,New Norfolk,-42.7826,147.0587,44.92,overcast clouds,0.0,0.0,68,91,3.0,AU,2021-07-24 19:52:13
53,Mehamn,71.0357,27.8492,44.47,overcast clouds,0.0,0.0,85,100,24.76,NO,2021-07-24 19:52:14
54,Luderitz,-26.6481,15.1594,64.58,few clouds,0.0,0.0,30,15,6.49,NA,2021-07-24 19:50:06
55,Puerto Ayora,-0.7393,-90.3518,78.76,few clouds,0.0,0.0,83,16,13.0,EC,2021-07-24 19:52:14
56,Narsaq,60.9167,-46.05,47.88,overcast clouds,0.0,0.0,84,89,4.76,GL,2021-07-24 19:52:14
57,Malanje,-9.5402,16.341,70.32,clear sky,0.0,0.0,23,0,3.78,AO,2021-07-24 19:52:15
58,Lesogorsk,56.0458,99.5136,58.95,scattered clouds,0.0,0.0,71,46,3.49,RU,2021-07-24 19:52:15
59,Scicli,36.7902,14.7014,83.12,clear sky,0.0,0.0,53,0,6.29,IT,2021-07-24 19:52:16
60,Magdalena,14.1999,121.429,80.24,overcast clouds,0.0,0.0,88,100,9.28,PH,2021-07-24 19:52:16
61,Port Alfred,-33.5906,26.891,54.99,clear sky,0.0,0.0,74,0,20.04,ZA,2021-07-24 19:49:21
62,Vaini,-21.2,-175.2,71.76,fog,0.0,0.0,94,20,2.3,TO,2021-07-24 19:49:24
63,Chokurdakh,70.6333,147.9167,41.5,broken clouds,0.0,0.0,75,59,15.55,RU,2021-07-24 19:52:17
64,Ancud,-41.8697,-73.8203,45.93,overcast clouds,0.0,0.0,69,100,4.45,CL,2021-07-24 19:52:17
65,Belaya Gora,68.5333,146.4167,48.81,overcast clouds,0.0,0.0,64,93,15.64,RU,2021-07-24 19:52:17
66,Beruwala,6.4788,79.9828,78.42,moderate rain,1.15,1.15,88,57,5.84,LK,2021-07-24 19:52:18
67,Sainthia,23.95,87.6667,79.79,scattered clouds,0.0,0.0,93,41,5.03,IN,2021-07-24 19:52:18
68,Tiradentes,-21.1103,-44.1781,72.01,clear sky,0.0,0.0,34,0,6.69,BR,2021-07-24 19:52:19
69,Gizo,-8.103,156.8419,80.94,moderate rain,1.26,1.26,78,44,4.61,SB,2021-07-24 19:52:19
70,Ponta Delgada,37.7333,-25.6667,72.32,few clouds,0.0,0.0,88,20,4.61,PT,2021-07-24 19:49:32
71,Beringovskiy,63.05,179.3167,52.34,overcast clouds,0.0,0.0,88,100,8.57,RU,2021-07-24 19:52:20
72,Codrington,-38.2667,141.9667,45.03,light rain,0.1,0.1,68,88,22.97,AU,2021-07-24 19:52:20
73,Hamilton,39.1834,-84.5333,90.21,scattered clouds,0.0,0.0,58,40,1.01,US,2021-07-24 19:48:38
74,Bluff,-46.6,168.3333,41.81,light rain,0.11,0.11,72,100,11.79,NZ,2021-07-24 19:49:26
75,San Quintin,30.4833,-115.95,74.32,overcast clouds,0.0,0.0,69,87,12.86,MX,2021-07-24 19:52:21
76,Port Elizabeth,-33.918,25.5701,55.69,scattered clouds,0.0,0.0,76,40,10.36,ZA,2021-07-24 19:50:11
77,Mar Del Plata,-38.0023,-57.5575,52.0,clear sky,0.0,0.0,55,0,11.99,AR,2021-07-24 19:49:54
78,Iqaluit,63.7506,-68.5145,42.53,light rain,0.0,0.0,87,90,10.36,CA,2021-07-24 19:49:05
79,Glendive,47.1053,-104.7125,90.52,clear sky,0.0,0.0,15,1,8.05,US,2021-07-24 19:52:22
80,General Roca,-39.0333,-67.5833,55.8,overcast clouds,0.0,0.0,28,92,6.82,AR,2021-07-24 19:52:22
81,Thompson,55.7435,-97.8558,71.76,broken clouds,0.0,0.0,56,75,12.66,CA,2021-07-24 19:52:22
82,Hermanus,-34.4187,19.2345,53.91,few clouds,0.0,0.0,57,14,4.81,ZA,2021-07-24 19:44:51
83,Necochea,-38.5473,-58.7368,50.04,overcast clouds,0.0,0.0,61,95,16.28,AR,2021-07-24 19:52:23
84,Bratsk,56.1325,101.6142,64.89,overcast clouds,0.0,0.0,75,85,2.98,RU,2021-07-24 19:52:23
85,Cherskiy,68.75,161.3,46.78,overcast clouds,0.0,0.0,71,92,3.42,RU,2021-07-24 19:45:02
86,Avarua,-21.2078,-159.775,77.05,scattered clouds,0.0,0.0,69,32,9.22,CK,2021-07-24 19:44:55
87,Lorengau,-2.0226,147.2712,80.6,broken clouds,0.0,0.0,76,67,6.67,PG,2021-07-24 19:50:08
88,Eureka,40.8021,-124.1637,64.26,scattered clouds,0.0,0.0,72,30,3.0,US,2021-07-24 19:52:24
89,Imbituba,-28.24,-48.6703,75.09,clear sky,0.0,0.0,73,0,9.62,BR,2021-07-24 19:49:30
90,Zheleznodorozhnyy,55.7503,38.0042,63.36,broken clouds,0.0,0.0,56,78,3.11,RU,2021-07-24 19:52:25
91,Henties Bay,-22.116,14.2845,64.89,clear sky,0.0,0.0,35,0,9.53,NA,2021-07-24 19:52:25
92,Namibe,-15.1961,12.1522,65.75,clear sky,0.0,0.0,87,0,4.03,AO,2021-07-24 19:52:26
93,Balakhta,55.38,91.6,61.5,overcast clouds,0.0,0.0,82,100,3.49,RU,2021-07-24 19:52:26
94,Tuktoyaktuk,69.4541,-133.0374,60.8,broken clouds,0.0,0.0,55,75,16.11,CA,2021-07-24 19:50:09
95,Hobart,-42.8794,147.3294,46.26,scattered clouds,0.0,0.0,66,40,3.0,AU,2021-07-24 19:46:07
96,Mackenzie,55.2999,-123.1698,64.62,broken clouds,0.0,0.0,59,75,6.91,CA,2021-07-24 19:52:27
97,Yellowknife,62.456,-114.3525,55.33,broken clouds,0.0,0.0,54,75,5.01,CA,2021-07-24 19:49:03
98,Talavera,15.6167,120.9333,76.57,overcast clouds,0.0,0.0,95,100,2.71,PH,2021-07-24 19:52:28
99,Nova Prata,-28.7839,-51.61,68.25,clear sky,0.0,0.0,51,0,2.75,BR,2021-07-24 19:52:28
100,Flin Flon,54.7682,-101.865,71.44,smoke,0.0,0.0,56,75,8.05,CA,2021-07-24 19:52:28
101,Staryy Nadym,65.6118,72.6842,55.26,overcast clouds,0.0,0.0,92,91,8.1,RU,2021-07-24 19:52:29
102,Evanston,42.0411,-87.6901,93.58,broken clouds,0.0,0.0,58,83,3.0,US,2021-07-24 19:52:29
103,Fochville,-26.4886,27.4939,43.47,clear sky,0.0,0.0,29,0,3.76,ZA,2021-07-24 19:52:29
104,Asau,46.4333,26.4,63.39,clear sky,0.0,0.0,81,10,3.0,RO,2021-07-24 19:52:30
105,Nouadhibou,20.931,-17.0347,71.58,clear sky,0.0,0.0,88,2,14.97,MR,2021-07-24 19:52:30
106,Ordu,40.9086,37.6845,54.88,clear sky,0.0,0.0,89,9,5.57,TR,2021-07-24 19:52:31
107,Goba,7.0167,39.9833,50.5,overcast clouds,0.0,0.0,92,100,3.49,ET,2021-07-24 19:52:31
108,Georgetown,5.4112,100.3354,83.89,few clouds,0.0,0.0,90,20,1.99,MY,2021-07-24 19:52:31
109,Acarau,-2.8856,-40.12,81.86,scattered clouds,0.0,0.0,64,40,17.29,BR,2021-07-24 19:52:32
110,Istra,55.9178,36.8642,63.09,broken clouds,0.0,0.0,66,53,2.21,RU,2021-07-24 19:52:32
111,Mount Gambier,-37.8333,140.7667,40.91,overcast clouds,0.0,0.0,81,100,11.5,AU,2021-07-24 19:52:33
112,Victoria,22.2855,114.1577,82.38,light rain,0.37,0.37,95,97,1.01,HK,2021-07-24 19:48:46
113,Arnoldstein,46.5461,13.71,70.38,overcast clouds,0.0,0.0,97,100,5.21,AT,2021-07-24 19:52:33
114,Alofi,-19.0595,-169.9187,73.29,clear sky,0.0,0.0,100,5,1.14,NU,2021-07-24 19:52:34
115,Katsuura,35.1333,140.3,79.11,clear sky,0.0,0.0,85,5,8.41,JP,2021-07-24 19:52:34
116,Longyearbyen,78.2186,15.6401,44.44,broken clouds,0.0,0.0,81,75,12.66,SJ,2021-07-24 19:52:34
117,Freeport,40.6576,-73.5832,86.97,clear sky,0.0,0.0,55,1,7.0,US,2021-07-24 19:51:12
118,Smithers,54.7804,-127.1743,61.12,light rain,0.11,0.11,77,75,2.3,CA,2021-07-24 19:52:35
119,Hasaki,35.7333,140.8333,75.6,clear sky,0.0,0.0,84,0,7.56,JP,2021-07-24 19:49:33
120,Caravelas,-17.7125,-39.2481,72.81,broken clouds,0.0,0.0,62,71,10.0,BR,2021-07-24 19:48:16
121,Ahuimanu,21.4447,-157.8378,83.91,light rain,0.15,0.15,73,75,12.66,US,2021-07-24 19:52:36
122,Vestmannaeyjar,63.4427,-20.2734,51.6,broken clouds,0.0,0.0,84,59,11.79,IS,2021-07-24 19:52:36
123,High Level,58.5169,-117.136,64.51,light rain,0.53,0.53,77,75,6.91,CA,2021-07-24 19:52:36
124,Arraial Do Cabo,-22.9661,-42.0278,75.16,clear sky,0.0,0.0,60,0,23.02,BR,2021-07-24 19:49:20
125,Iquitos,-3.7481,-73.2472,86.04,broken clouds,0.0,0.0,66,75,2.3,PE,2021-07-24 19:52:37
126,Clyde River,70.4692,-68.5914,34.03,overcast clouds,0.0,0.0,93,90,13.8,CA,2021-07-24 19:52:38
127,Byron Bay,-28.65,153.6167,58.71,clear sky,0.0,0.0,53,0,10.11,AU,2021-07-24 19:52:38
128,Srednekolymsk,67.45,153.6833,49.46,overcast clouds,0.0,0.0,65,99,14.88,RU,2021-07-24 19:52:38
129,Benghazi,32.1167,20.0667,79.66,clear sky,0.0,0.0,73,0,14.58,LY,2021-07-24 19:52:39
130,Tessalit,20.1986,1.0114,94.69,broken clouds,0.0,0.0,34,62,15.86,ML,2021-07-24 19:52:39
131,Lazaro Cardenas,17.9583,-102.2,85.41,broken clouds,0.0,0.0,73,66,9.17,MX,2021-07-24 19:48:43
132,Laguna,38.421,-121.4238,103.44,clear sky,0.0,0.0,39,1,5.75,US,2021-07-24 19:52:40
133,Opuwo,-18.0607,13.84,59.59,clear sky,0.0,0.0,14,0,7.94,NA,2021-07-24 19:52:40
134,Torbay,47.6666,-52.7314,69.89,broken clouds,0.0,0.0,72,75,12.66,CA,2021-07-24 19:52:40
135,Nikolskoye,59.7035,30.7861,58.89,scattered clouds,0.0,0.0,67,31,3.42,RU,2021-07-24 19:52:41
136,Bengkulu,-3.8004,102.2655,75.06,clear sky,0.0,0.0,88,9,4.21,ID,2021-07-24 19:47:24
137,Touros,-5.1989,-35.4608,83.3,clear sky,0.0,0.0,62,10,19.01,BR,2021-07-24 19:49:26
138,Bethel,41.3712,-73.414,85.35,few clouds,0.0,0.0,51,20,1.01,US,2021-07-24 19:52:42
139,Kalmunai,7.4167,81.8167,81.39,overcast clouds,0.0,0.0,70,100,6.26,LK,2021-07-24 19:52:42
140,Suez,29.9737,32.5263,79.45,clear sky,0.0,0.0,71,0,10.56,EG,2021-07-24 19:52:42
141,Provideniya,64.3833,-173.3,47.01,light rain,0.93,0.93,98,100,12.17,RU,2021-07-24 19:52:43
142,Ponta Do Sol,32.6667,-17.1,75.7,clear sky,0.0,0.0,78,0,5.14,PT,2021-07-24 19:52:43
143,Atar,20.5169,-13.0499,99.86,broken clouds,0.0,0.0,17,75,9.53,MR,2021-07-24 19:52:44
144,Chuy,-33.6971,-53.4616,59.16,overcast clouds,0.0,0.0,81,95,5.84,UY,2021-07-24 19:49:25
145,Inhambane,-23.865,35.3833,60.78,scattered clouds,0.0,0.0,87,40,8.99,MZ,2021-07-24 19:52:44
146,Sangar,63.9242,127.4739,57.18,clear sky,0.0,0.0,73,0,6.8,RU,2021-07-24 19:52:44
147,Paamiut,61.994,-49.6678,41.92,overcast clouds,0.0,0.0,96,92,9.57,GL,2021-07-24 19:52:45
148,Kawalu,-7.3817,108.2082,70.86,broken clouds,0.0,0.0,92,84,1.45,ID,2021-07-24 19:52:45
149,Bud,39.447,-86.1758,88.84,broken clouds,0.0,0.0,68,68,10.67,US,2021-07-24 19:52:46
150,Faanui,-16.4833,-151.75,76.19,light rain,0.68,0.68,79,30,13.65,PF,2021-07-24 19:52:46
151,Lakes Entrance,-37.8811,147.981,44.19,broken clouds,0.0,0.0,72,58,15.79,AU,2021-07-24 19:52:46
152,Vadastrita,43.85,24.3333,75.43,clear sky,0.0,0.0,55,2,6.89,RO,2021-07-24 19:52:47
153,Mount Isa,-20.7333,139.5,55.17,broken clouds,0.0,0.0,41,56,4.61,AU,2021-07-24 19:52:47
154,Dikson,73.5069,80.5464,37.96,overcast clouds,0.0,0.0,95,100,24.09,RU,2021-07-24 19:52:48
155,Saint-Philippe,-21.3585,55.7679,67.59,broken clouds,0.0,0.0,76,65,5.28,RE,2021-07-24 19:52:48
156,Makinsk,52.6292,70.4169,66.09,overcast clouds,0.0,0.0,39,99,8.77,KZ,2021-07-24 19:52:48
157,Vila Franca Do Campo,37.7167,-25.4333,72.01,few clouds,0.0,0.0,81,11,8.05,PT,2021-07-24 19:52:49
158,Dire,12.2833,-10.9667,76.96,moderate rain,1.28,1.28,86,100,4.34,ML,2021-07-24 19:52:49
159,Cheremukhovo,60.3484,59.9851,47.3,overcast clouds,0.0,0.0,88,97,3.89,RU,2021-07-24 19:52:49
160,Lianran,24.9227,102.485,61.34,light rain,0.27,0.27,98,100,4.21,CN,2021-07-24 19:52:50
161,Doha,25.2867,51.5333,95.31,clear sky,0.0,0.0,63,0,11.5,QA,2021-07-24 19:52:50
162,Yulara,-25.2406,130.9889,42.64,broken clouds,0.0,0.0,65,52,3.44,AU,2021-07-24 19:52:51
163,Kamenka,51.3223,42.7678,64.63,overcast clouds,0.0,0.0,56,95,6.26,RU,2021-07-24 19:52:51
164,Faya,18.3851,42.4509,69.91,broken clouds,0.0,0.0,67,62,3.13,SA,2021-07-24 19:52:51
165,Uarini,-2.99,-65.1083,89.55,broken clouds,0.0,0.0,64,59,3.06,BR,2021-07-24 19:52:52
166,Constantine,36.365,6.6147,96.21,scattered clouds,0.0,0.0,15,40,12.66,DZ,2021-07-24 19:48:01
167,Neiafu,-18.65,-173.9833,77.68,light rain,0.21,0.21,88,40,4.61,TO,2021-07-24 19:52:52
168,Cabo San Lucas,22.8909,-109.9124,97.81,few clouds,0.0,0.0,61,12,7.0,MX,2021-07-24 19:45:51
169,Kabwe,-14.4469,28.4464,53.55,scattered clouds,0.0,0.0,75,38,7.11,ZM,2021-07-24 19:52:53
170,Port Lincoln,-34.7333,135.8667,53.56,overcast clouds,0.0,0.0,69,100,17.6,AU,2021-07-24 19:52:53
171,Nyurba,63.2842,118.3319,54.91,clear sky,0.0,0.0,84,7,4.7,RU,2021-07-24 19:48:31
172,Khash,28.2211,61.2158,84.29,clear sky,0.0,0.0,29,10,9.33,IR,2021-07-24 19:52:54
173,Jelenia Gora,50.8997,15.729,69.85,clear sky,0.0,0.0,66,10,4.94,PL,2021-07-24 19:52:54
174,Nuuk,64.1835,-51.7216,40.82,overcast clouds,0.0,0.0,77,96,5.64,GL,2021-07-24 19:52:55
175,Gao,16.6362,1.637,81.03,overcast clouds,0.0,0.0,65,86,5.28,ML,2021-07-24 19:52:55
176,Male,4.1748,73.5089,82.35,broken clouds,0.0,0.0,78,75,5.75,MV,2021-07-24 19:52:55
177,Wanning,18.8003,110.3967,79.16,scattered clouds,0.0,0.0,86,44,8.08,CN,2021-07-24 19:52:56
178,Pangnirtung,66.1451,-65.7125,51.8,overcast clouds,0.0,0.0,62,90,21.85,CA,2021-07-24 19:52:56
179,Kloulklubed,7.0419,134.2556,83.1,light rain,0.86,0.86,80,100,13.11,PW,2021-07-24 19:52:57
180,Te Anau,-45.4167,167.7167,38.43,light rain,0.62,0.62,90,100,2.68,NZ,2021-07-24 19:52:57
181,Guarapari,-20.6667,-40.4975,76.91,clear sky,0.0,0.0,63,0,10.58,BR,2021-07-24 19:52:57
182,Constitucion,-35.3333,-72.4167,52.34,overcast clouds,0.0,0.0,87,100,12.5,CL,2021-07-24 19:52:58
183,Talnakh,69.4865,88.3972,48.69,moderate rain,1.32,1.32,87,100,0.2,RU,2021-07-24 19:52:58
184,Esperance,-33.8667,121.9,48.04,clear sky,0.0,0.0,80,1,17.9,AU,2021-07-24 19:52:58
185,Haines Junction,60.7522,-137.5108,60.75,broken clouds,0.0,0.0,51,74,4.61,CA,2021-07-24 19:52:59
186,Ibra,22.6906,58.5334,88.43,broken clouds,0.0,0.0,52,73,8.25,OM,2021-07-24 19:52:59
187,Port Blair,11.6667,92.75,82.06,light rain,0.75,0.75,84,100,20.13,IN,2021-07-24 19:53:00
188,Wajima,37.4,136.9,77.92,clear sky,0.0,0.0,83,0,3.04,JP,2021-07-24 19:53:00
189,Kismayo,-0.3582,42.5454,76.23,broken clouds,0.0,0.0,77,54,22.26,SO,2021-07-24 19:53:00
190,Fountain Hills,33.6117,-111.7174,83.52,overcast clouds,0.0,0.0,81,90,5.01,US,2021-07-24 19:50:19
191,Tatarskaya Pishlya,54.0608,44.8998,58.89,broken clouds,0.0,0.0,72,68,4.97,RU,2021-07-24 19:53:01
192,Natal,-5.795,-35.2094,83.05,few clouds,0.0,0.0,61,20,19.57,BR,2021-07-24 19:53:01
193,Kaeo,-35.1,173.7833,56.32,overcast clouds,0.0,0.0,86,99,11.39,NZ,2021-07-24 19:53:02
194,Shwebo,22.5667,95.7,79.7,scattered clouds,0.0,0.0,80,50,10.92,MM,2021-07-24 19:53:02
195,Chardara,41.2547,67.9692,84.07,clear sky,0.0,0.0,24,0,11.72,KZ,2021-07-24 19:53:03
196,Oistins,13.0667,-59.5333,86.09,few clouds,0.0,0.0,70,20,14.97,BB,2021-07-24 19:53:03
197,Sioux Lookout,50.1001,-91.917,80.98,smoke,0.0,0.0,44,75,19.57,CA,2021-07-24 19:53:03
198,Dwarka,22.2394,68.9678,82.47,overcast clouds,0.0,0.0,85,99,19.48,IN,2021-07-24 19:53:04
199,Ruti,-0.6336,30.6212,71.55,overcast clouds,0.0,0.0,43,100,1.05,UG,2021-07-24 19:53:04
200,Severo-Kurilsk,50.6789,156.125,55.36,scattered clouds,0.0,0.0,96,48,1.43,RU,2021-07-24 19:53:04
201,Castro,-24.7911,-50.0119,65.17,clear sky,0.0,0.0,59,0,3.62,BR,2021-07-24 19:49:56
202,Batticaloa,7.7102,81.6924,82.15,overcast clouds,0.0,0.0,67,100,3.36,LK,2021-07-24 19:53:05
203,Paungde,18.4833,95.5,76.5,overcast clouds,0.0,0.0,96,86,4.76,MM,2021-07-24 19:53:06
204,Salalah,17.0151,54.0924,77.43,overcast clouds,0.0,0.0,94,94,7.85,OM,2021-07-24 19:53:06
205,Waipawa,-41.4122,175.5153,46.92,clear sky,0.0,0.0,88,3,7.7,NZ,2021-07-24 19:53:06
206,Nowa Ruda,50.5801,16.5016,70.45,clear sky,0.0,0.0,65,0,3.53,PL,2021-07-24 19:53:07
207,Zhezkazgan,47.8043,67.7144,84.74,clear sky,0.0,0.0,21,9,0.96,KZ,2021-07-24 19:53:07
208,Sobolevo,54.4299,31.8996,56.95,clear sky,0.0,0.0,75,3,1.9,RU,2021-07-24 19:53:07
209,Posadas,-27.3671,-55.8961,84.18,clear sky,0.0,0.0,37,0,9.22,AR,2021-07-24 19:53:08
210,Bridlington,54.0831,-0.1919,61.9,overcast clouds,0.0,0.0,86,100,9.33,GB,2021-07-24 19:53:08
211,East London,-33.0153,27.9116,55.81,clear sky,0.0,0.0,71,0,15.12,ZA,2021-07-24 19:48:13
212,Komsomolskiy,40.4272,71.7189,81.32,clear sky,0.0,0.0,41,0,9.22,UZ,2021-07-24 19:48:40
213,Santiago Del Estero,-27.7951,-64.2615,78.8,overcast clouds,0.0,0.0,26,94,3.78,AR,2021-07-24 19:48:46
214,Ngunguru,-35.6167,174.5,56.16,broken clouds,0.0,0.0,79,60,16.08,NZ,2021-07-24 19:53:09
215,Chapayevka,47.4711,36.3451,69.6,scattered clouds,0.0,0.0,53,40,2.08,UA,2021-07-24 19:53:10
216,Pakhtakoron,40.1571,68.7466,85.64,clear sky,0.0,0.0,18,0,5.41,TJ,2021-07-24 19:53:10
217,Grindavik,63.8424,-22.4338,51.75,scattered clouds,0.0,0.0,87,40,17.27,IS,2021-07-24 19:53:11
218,Kurumkan,54.3,110.3,57.6,clear sky,0.0,0.0,79,5,2.13,RU,2021-07-24 19:53:11
219,Klaksvik,62.2266,-6.589,50.92,broken clouds,0.0,0.0,93,84,16.91,FO,2021-07-24 19:53:11
220,Rio Bravo,25.9833,-98.1,96.08,clear sky,0.0,0.0,36,0,16.46,MX,2021-07-24 19:53:12
221,Kentau,43.5206,68.5094,86.81,clear sky,0.0,0.0,19,0,11.34,KZ,2021-07-24 19:53:12
222,Vila,42.0304,-8.1588,60.75,few clouds,0.0,0.0,77,15,2.95,PT,2021-07-24 19:53:13
223,Maningrida,-12.0667,134.2667,68.4,broken clouds,0.0,0.0,94,71,2.57,AU,2021-07-24 19:53:13
224,Batemans Bay,-35.7167,150.1833,46.2,scattered clouds,0.0,0.0,55,44,12.26,AU,2021-07-24 19:53:13
225,Sisophon,13.5859,102.9737,74.52,light rain,0.24,0.24,93,100,6.69,KH,2021-07-24 19:53:14
226,Hambantota,6.1241,81.1185,79.2,overcast clouds,0.0,0.0,83,86,14.03,LK,2021-07-24 19:53:14
227,Salamiyah,35.0113,37.0532,76.95,scattered clouds,0.0,0.0,68,35,10.76,SY,2021-07-24 19:53:14
